id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha27_SAEM
84,-1.41877,-0.0131749,0.00338487,0.0399182,0.0420344,0.00151734,-1.18706,-0.0119212,0.134971,0.00150892,-0.866632,0.00821696,183.512,-0.175548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1.73659,0.026744,-0.0391541,0.0367098,0.0266509,-0.00489631,-0.461513,-0.021061,-2.59222,-0.0965173,0.0642551,0.0426758,-230.813,3.18397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,-1.12039,-0.0710132,0.0307543,0.05861,0.0180152,0.00081274,0.30458,0.0799159,1.9878,0.00178981,0.532876,0.00208223,-24.3616,0.750537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.250908,0.150024,0.0234042,-0.00695612,-0.00344363,0.00415213,1.17882,0.132127,-0.763899,0.102058,0.25474,0.0496513,55.0455,3.76161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,-1.63108,-0.0156193,0.00810418,-0.124803,0.000609618,9.24278e-05,-1.28962,-0.0207379,0.096581,-0.018094,0.771359,0.0119699,-145.245,-2.53898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,-1.56745,-0.0516602,0.0218708,-0.0973589,-0.0427981,0.00144894,-0.037826,-0.113453,-2.68985,-0.0375718,0.210188,-0.0619687,40.0245,0.652591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2.36475,-0.0365242,-0.00157324,-0.114165,0.069252,-0.00588656,-0.17144,-0.158126,0.631323,-0.0777623,-0.532555,-0.104854,33.2973,0.680298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,-1.18912,0.115033,-0.0214988,0.211562,0.0251683,0.00145149,0.35759,-0.151384,0.0769027,-0.0113587,-0.437493,0.0526973,113.61,-0.162572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2.71902,0.165972,-0.0505407,0.890297,0.00792315,-0.00150204,-0.862399,-0.0730839,-1.67166,-0.0182371,-1.08881,0.00305537,63.1355,6.29968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.00166387,-0.00142313,-0.00344907,-0.0524794,0.0384844,-0.00172568,1.20561,0.0295356,0.689996,-0.0066558,-0.000380834,-0.0245528,-35.25,0.080182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.968841,0.00315617,-0.00344924,-0.076781,0.00828823,0.00169099,-1.2295,-0.0416711,-0.157969,0.0161283,-0.488868,-0.0403737,131.757,0.465088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,-0.213191,-0.0333905,0.111888,0.502462,0.0318448,-0.000347952,0.0137091,-0.0235296,1.13348,-0.0489156,-0.132278,0.0079901,85.7276,0.189453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,-0.290407,0.0101982,-0.00728549,-0.13779,0.0240071,-0.000214316,-0.011612,0.0708372,0.177234,0.030406,-1.30369,-0.0098844,94.6467,0.844976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,-1.35884,-0.0344978,0.0267527,-0.137144,-0.0715681,-0.00178461,-0.631817,-0.131323,1.98678,0.0297636,-0.404618,0.0107087,208.386,4.56041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.431739,-0.0187425,-0.000746674,-0.147445,0.00027232,0.00451877,0.291462,-0.0785013,0.535154,-0.0196327,-0.356261,-0.0219204,-63.3447,-0.354907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
