id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
141,0.0756268,-0.000281742,-1.95563,-0.0063779,0,0,0,0,0,0,0,0
142,-0.0383476,-0.00212638,0.544276,-0.0158814,0,0,0,0,0,0,0,0
143,-0.0406358,-0.00272817,0.094599,0.11105,0,0,0,0,0,0,0,0
144,0.0326999,0.00313209,0.040475,0.143931,0,0,0,0,0,0,0,0
145,0.0295614,-9.30399e-05,0.876452,0.203948,0,0,0,0,0,0,0,0
146,-0.0109865,-0.00347702,1.32344,-0.185058,0,0,0,0,0,0,0,0
147,0.0105942,0.000266154,-1.31033,-0.0244759,0,0,0,0,0,0,0,0
148,0.0506877,0.000168901,-0.508691,-0.146506,0,0,0,0,0,0,0,0
149,-0.0138497,-0.005944,-0.0955799,0.300214,0,0,0,0,0,0,0,0
150,-0.0368299,-0.00113195,0.438862,0.0012726,0,0,0,0,0,0,0,0
151,-0.0173433,0.000918135,-0.470792,-0.0360327,0,0,0,0,0,0,0,0
152,-0.0492433,-0.00664387,-0.777572,-0.145705,0,0,0,0,0,0,0,0
153,-0.0299351,0.00450321,-0.323192,-0.120662,0,0,0,0,0,0,0,0
154,0.000389435,-0.00456621,-1.31176,-0.0797038,0,0,0,0,0,0,0,0
155,-0.00330094,0.000901778,0.263338,-0.0184818,0,0,0,0,0,0,0,0
156,0.0117289,0.00333919,0.197895,0.0174901,0,0,0,0,0,0,0,0
157,-0.0164682,0.00380158,0.474533,-0.0651635,0,0,0,0,0,0,0,0
158,-0.0413404,-0.000100158,-0.153559,0.128011,0,0,0,0,0,0,0,0
159,-0.0133213,-0.00238359,1.5792,0.140481,0,0,0,0,0,0,0,0
160,0.0337403,-0.00411962,-0.135732,0.067805,0,0,0,0,0,0,0,0
161,-0.0183798,0.000427065,-0.148484,-0.0117864,0,0,0,0,0,0,0,0
